n_estimators,min_samples_leaf,max_features,max_depth,test_accuracy,test_f1_score
1800,2,sqrt,5,0.6315560391730142,0.6273714136382467
1800,2,sqrt,50,0.7549510337323178,0.7548079653339133
1800,2,sqrt,100,0.7551686615886833,0.7550228143145193
1800,2,sqrt,180,0.7551686615886833,0.7550228143145193
